symbol,name,suffix,market,sector
DOW,Dow Inc.,,US,Materials
DHI,D. R. Horton,,US,Consumer Discretionary
DTE,DTE Energy,,US,Utilities
DUK,Duke Energy,,US,Utilities
DD,DuPont,,US,Materials
ETN,Eaton Corporation,,US,Industrials
EBAY,eBay Inc.,,US,Consumer Discretionary
ECHO,EchoStar,,US,Communication Services
ECL,Ecolab,,US,Materials
EIX,Edison International,,US,Utilities
EW,Edwards Lifesciences,,US,Health Care
EA,Electronic Arts,,US,Communication Services
ELV,Elevance Health,,US,Health Care
EME,Emcor,,US,Industrials
EMR,Emerson Electric,,US,Industrials
ETR,Entergy,,US,Utilities
EOG,EOG Resources,,US,Energy
EQT,EQT Corporation,,US,Energy
EFX,Equifax,,US,Industrials
EQIX,Equinix,,US,Real Estate
EQR,Equity Residential,,US,Real Estate
ERIE,Erie Indemnity,,US,Financials
ESS,Essex Property Trust,,US,Real Estate
EL,Estée Lauder Companies (The),,US,Consumer Staples
EG,Everest Group,,US,Financials
EVRG,Evergy,,US,Utilities
ES,Eversource Energy,,US,Utilities
EXC,Exelon,,US,Utilities
EXE,Expand Energy,,US,Energy
EXPE,Expedia Group,,US,Consumer Discretionary
EXPD,Expeditors International,,US,Industrials
EXR,Extra Space Storage,,US,Real Estate
XOM,ExxonMobil,,US,Energy
FFIV,"F5, Inc.",,US,Information Technology
FDS,FactSet,,US,Financials
FICO,Fair Isaac,,US,Information Technology
FAST,Fastenal,,US,Industrials
FRT,Federal Realty Investment Trust,,US,Real Estate
FDX,FedEx,,US,Industrials
FDXF,FedEx Freight,,US,Industrials
FIS,Fidelity National Information Services,,US,Financials
FITB,Fifth Third Bancorp,,US,Financials
FSLR,First Solar,,US,Information Technology
FE,FirstEnergy,,US,Utilities
FISV,Fiserv,,US,Financials
FLEX,Flex Ltd.,,US,Information Technology
F,Ford Motor Company,,US,Consumer Discretionary
FTNT,Fortinet,,US,Information Technology
FTV,Fortive,,US,Industrials
FOXA,Fox Corporation (Class A),,US,Communication Services
FOX,Fox Corporation (Class B),,US,Communication Services
BEN,Franklin Resources,,US,Financials
FCX,Freeport-McMoRan,,US,Materials
GRMN,Garmin,,US,Consumer Discretionary
IT,Gartner,,US,Information Technology
GE,GE Aerospace,,US,Industrials
GEHC,GE HealthCare,,US,Health Care
GEV,GE Vernova,,US,Industrials
GEN,Gen Digital,,US,Information Technology
GNRC,Generac,,US,Industrials
GD,General Dynamics,,US,Industrials
GIS,General Mills,,US,Consumer Staples
GM,General Motors,,US,Consumer Discretionary
GPC,Genuine Parts Company,,US,Consumer Discretionary
GILD,Gilead Sciences,,US,Health Care
GPN,Global Payments,,US,Financials
GL,Globe Life,,US,Financials
GDDY,GoDaddy,,US,Information Technology
GS,Goldman Sachs,,US,Financials
HAL,Halliburton,,US,Energy
HIG,Hartford (The),,US,Financials
HAS,Hasbro,,US,Consumer Discretionary
HCA,HCA Healthcare,,US,Health Care
DOC,Healthpeak Properties,,US,Real Estate
HSIC,Henry Schein,,US,Health Care
HSY,Hershey Company (The),,US,Consumer Staples
HPE,Hewlett Packard Enterprise,,US,Information Technology
HLT,Hilton Worldwide,,US,Consumer Discretionary
HD,Home Depot (The),,US,Consumer Discretionary
HON,Honeywell,,US,Industrials
HRL,Hormel Foods,,US,Consumer Staples
HST,Host Hotels & Resorts,,US,Real Estate
HWM,Howmet Aerospace,,US,Industrials
HPQ,HP Inc.,,US,Information Technology
HUBB,Hubbell Incorporated,,US,Industrials
HUM,Humana,,US,Health Care
HBAN,Huntington Bancshares,,US,Financials
HII,Huntington Ingalls Industries,,US,Industrials
IBM,IBM,,US,Information Technology
IEX,IDEX Corporation,,US,Industrials
IDXX,Idexx Laboratories,,US,Health Care
ITW,Illinois Tool Works,,US,Industrials
INCY,Incyte,,US,Health Care
IR,Ingersoll Rand,,US,Industrials
